identity_line_item_id,identity_time_interval,bill_bill_type,bill_billing_entity,bill_billing_period_end_date,bill_billing_period_start_date,bill_invoice_id,bill_invoicing_entity,bill_payer_account_id,bill_payer_account_name,line_item_availability_zone,line_item_blended_cost,line_item_blended_rate,line_item_currency_code,line_item_line_item_description,line_item_line_item_type,line_item_net_unblended_cost,line_item_net_unblended_rate,line_item_operation,line_item_product_code,line_item_resource_id,line_item_usage_account_id,line_item_usage_account_name,line_item_usage_amount,line_item_usage_end_date,line_item_usage_start_date,line_item_usage_type,pricing_public_on_demand_cost,pricing_public_on_demand_rate,pricing_term,pricing_unit,product_product_name,product_region,product_instance_type,product_instance_type_family,product_operating_system,product_vcpu,product_memory,resource_tags
lid-00002473,2025-12-09T00:00:00Z/2025-12-10T00:00:00Z,Anniversary,AWS,2025-12-30T00:00:00Z,2025-10-01T00:00:00Z,INV-202510-001,"Amazon Web Services, Inc.",111222333444,Acme Corp Master,us-west-2b,4.8005491950,0.1740000000,USD,$0.1740 per Hrs for db.m5.large in us-west-2,Usage,4.5605217353,0.1653000000,CreateDBInstance,AmazonRDS,arn:aws:rds:us-west-2:111222333444:db-m5-large-8640,111222333444,Production,27.5893631898,2025-12-10T00:00:00Z,2025-12-09T00:00:00Z,USW2-InstanceUsage:db.m5.large,5.5206315743,0.2001000000,OnDemand,Hrs,Amazon Relational Database Service,us-west-2,db.m5.large,General purpose,,2,8 GiB,"{""Environment"": ""staging"", ""Team"": ""platform-engineering"", ""CostCenter"": ""CC-1001"", ""Project"": ""core-api""}"
lid-00003117,2025-12-27T00:00:00Z/2025-12-28T00:00:00Z,Anniversary,AWS,2025-12-30T00:00:00Z,2025-10-01T00:00:00Z,INV-202510-001,"Amazon Web Services, Inc.",111222333444,Acme Corp Master,eu-central-1a,2.4878506729,0.1700000000,USD,$0.1700 per Hrs for c5.xlarge in eu-central-1,Usage,2.3634581393,0.1615000000,RunInstances,AmazonEC2,arn:aws:ec2:eu-central-1:555666777888:c5-xlarge-4681,555666777888,Staging,14.6344157230,2025-12-28T00:00:00Z,2025-12-27T00:00:00Z,EUC1-BoxUsage:c5.xlarge,2.8610282738,0.1955000000,OnDemand,Hrs,Amazon Elastic Compute Cloud,eu-central-1,c5.xlarge,Compute optimized,Linux,4,8 GiB,"{""Environment"": ""staging"", ""Team"": ""platform-engineering"", ""CostCenter"": ""CC-1001"", ""Project"": ""core-api""}"
lid-00001483,2025-11-11T00:00:00Z/2025-11-12T00:00:00Z,Anniversary,AWS,2025-12-30T00:00:00Z,2025-10-01T00:00:00Z,INV-202510-001,"Amazon Web Services, Inc.",111222333444,Acme Corp Master,us-west-2b,4.8060198151,0.1920000000,USD,$0.1920 per Hrs for m5.xlarge in us-west-2,Usage,4.5657188243,0.1824000000,RunInstances,AmazonEC2,arn:aws:ec2:us-west-2:999000111222:m5-xlarge-9005,999000111222,Data Platform,25.0313532035,2025-11-12T00:00:00Z,2025-11-11T00:00:00Z,USW2-BoxUsage:m5.xlarge,5.5269227873,0.2208000000,OnDemand,Hrs,Amazon Elastic Compute Cloud,us-west-2,m5.xlarge,General purpose,Linux,4,16 GiB,"{""Environment"": ""dev"", ""Team"": ""ml-ops""}"
lid-00003106,2025-12-26T00:00:00Z/2025-12-27T00:00:00Z,Anniversary,AWS,2025-12-30T00:00:00Z,2025-10-01T00:00:00Z,INV-202510-001,"Amazon Web Services, Inc.",111222333444,Acme Corp Master,us-west-2b,4.1593212922,0.1600000000,USD,$0.1600 per Hrs for cache.m5.large in us-west-2,Usage,3.9513552276,0.1520000000,CreateCacheCluster,AmazonElastiCache,arn:aws:elasticache:us-west-2:111222333444:cache-m5-large-4781,111222333444,Production,25.9957580765,2025-12-27T00:00:00Z,2025-12-26T00:00:00Z,USW2-NodeUsage:cache.m5.large,4.7832194861,0.1840000000,OnDemand,Hrs,Amazon ElastiCache,us-west-2,cache.m5.large,General purpose,,2,6.38 GiB,"{""Environment"": ""production"", ""Team"": ""platform-engineering"", ""CostCenter"": ""CC-1001"", ""Project"": ""core-api""}"
lid-00000056,2025-10-02T00:00:00Z/2025-10-03T00:00:00Z,Anniversary,AWS,2025-12-30T00:00:00Z,2025-10-01T00:00:00Z,INV-202510-001,"Amazon Web Services, Inc.",111222333444,Acme Corp Master,us-east-1c,1.6668158185,0.0625000000,USD,$0.0625 per Lambda-GB-Second for Function in us-east-1,Usage,1.5834750276,0.0593750000,Invoke,AWSLambda,arn:aws:lambda:us-east-1:111222333444:Function-1590,111222333444,Production,26.6690530956,2025-10-03T00:00:00Z,2025-10-02T00:00:00Z,USE1-Lambda-GB-Second:Function,1.9168381912,0.0718750000,OnDemand,Lambda-GB-Second,AWS Lambda,us-east-1,Function,,,,1024 MB,"{""Environment"": ""production"", ""Team"": ""ml-ops"", ""CostCenter"": ""CC-3001"", ""Project"": ""recommendation-engine""}"
lid-00002575,2025-12-12T00:00:00Z/2025-12-13T00:00:00Z,Anniversary,AWS,2025-12-30T00:00:00Z,2025-10-01T00:00:00Z,INV-202510-001,"Amazon Web Services, Inc.",111222333444,Acme Corp Master,ap-southeast-1a,1.0968116191,0.0416666667,USD,$0.0417 per Hrs for t3.medium in ap-southeast-1,Usage,1.0419710382,0.0395833333,RunInstances,AmazonEC2,arn:aws:ec2:ap-southeast-1:111222333444:t3-medium-1762,111222333444,Production,26.3234788591,2025-12-13T00:00:00Z,2025-12-12T00:00:00Z,APS1-BoxUsage:t3.medium,1.2613333620,0.0479166667,OnDemand,Hrs,Amazon Elastic Compute Cloud,ap-southeast-1,t3.medium,General purpose,Linux,2,4 GiB,"{""Environment"": ""staging"", ""Team"": ""platform-engineering"", ""CostCenter"": ""CC-1001"", ""Project"": ""core-api""}"
lid-00000887,2025-10-25T00:00:00Z/2025-10-26T00:00:00Z,Anniversary,AWS,2025-12-30T00:00:00Z,2025-10-01T00:00:00Z,INV-202510-001,"Amazon Web Services, Inc.",111222333444,Acme Corp Master,us-east-1a,3.0740006591,0.1908333333,USD,$0.1908 per Hrs for cache.r5.large in us-east-1,Usage,2.9203006262,0.1812916667,CreateCacheCluster,AmazonElastiCache,arn:aws:elasticache:us-east-1:555666777888:cache-r5-large-9084,555666777888,Staging,16.1083003971,2025-10-26T00:00:00Z,2025-10-25T00:00:00Z,USE1-NodeUsage:cache.r5.large,3.5351007580,0.2194583333,OnDemand,Hrs,Amazon ElastiCache,us-east-1,cache.r5.large,Memory optimized,,2,13.07 GiB,{}
lid-00000317,2025-10-09T00:00:00Z/2025-10-10T00:00:00Z,Anniversary,AWS,2025-12-30T00:00:00Z,2025-10-01T00:00:00Z,INV-202510-001,"Amazon Web Services, Inc.",111222333444,Acme Corp Master,us-east-1b,3.4196661265,0.1600000000,USD,$0.1600 per Hrs for cache.m5.large in us-east-1,Usage,3.2486828202,0.1520000000,CreateCacheCluster,AmazonElastiCache,arn:aws:elasticache:us-east-1:111222333444:cache-m5-large-4340,111222333444,Production,21.3729132905,2025-10-10T00:00:00Z,2025-10-09T00:00:00Z,USE1-NodeUsage:cache.m5.large,3.9326160455,0.1840000000,OnDemand,Hrs,Amazon ElastiCache,us-east-1,cache.m5.large,General purpose,,2,6.38 GiB,"{""Environment"": ""production"", ""Team"": ""platform-engineering"", ""CostCenter"": ""CC-1001"", ""Project"": ""core-api""}"
lid-00001551,2025-11-12T00:00:00Z/2025-11-13T00:00:00Z,Anniversary,AWS,2025-12-30T00:00:00Z,2025-10-01T00:00:00Z,INV-202510-001,"Amazon Web Services, Inc.",111222333444,Acme Corp Master,eu-west-1a,20.2523905578,1.0920000000,USD,$1.0920 per Hrs for ra3.xlplus in eu-west-1,Usage,19.2397710299,1.0374000000,CreateCluster,AmazonRedshift,arn:aws:redshift:eu-west-1:111222333444:ra3-xlplus-8059,111222333444,Production,18.5461451994,2025-11-13T00:00:00Z,2025-11-12T00:00:00Z,EUW1-Node:ra3.xlplus,23.2902491414,1.2558000000,OnDemand,Hrs,Amazon Redshift,eu-west-1,ra3.xlplus,RA3,,4,32 GiB,"{""Environment"": ""staging"", ""Team"": ""frontend"", ""CostCenter"": ""CC-4001"", ""Project"": ""web-app""}"
lid-00003179,2025-12-28T00:00:00Z/2025-12-29T00:00:00Z,Anniversary,AWS,2025-12-30T00:00:00Z,2025-10-01T00:00:00Z,INV-202510-001,"Amazon Web Services, Inc.",111222333444,Acme Corp Master,us-west-2c,1.1833278921,0.0500000000,USD,$0.0500 per ReadRequestUnits for PayPerRequest in us-west-2,Usage,1.1241614975,0.0475000000,GetItem,AmazonDynamoDB,arn:aws:dynamodb:us-west-2:111222333444:PayPerRequest-9057,111222333444,Production,23.6665578429,2025-12-29T00:00:00Z,2025-12-28T00:00:00Z,USW2-PayPerRequestThroughput:PayPerRequest,1.3608270760,0.0575000000,OnDemand,ReadRequestUnits,Amazon DynamoDB,us-west-2,PayPerRequest,,,,,"{""Environment"": ""production"", ""Team"": ""data-engineering"", ""CostCenter"": ""CC-2001"", ""Project"": ""data-pipeline""}"
lid-00003053,2025-12-25T00:00:00Z/2025-12-26T00:00:00Z,Anniversary,AWS,2025-12-30T00:00:00Z,2025-10-01T00:00:00Z,INV-202510-001,"Amazon Web Services, Inc.",111222333444,Acme Corp Master,eu-west-1a,10.3064073977,0.4800000000,USD,$0.4800 per Hrs for db.r5.xlarge in eu-west-1,Usage,9.7910870278,0.4560000000,CreateDBInstance,AmazonRDS,arn:aws:rds:eu-west-1:999000111222:db-r5-xlarge-3215,999000111222,Data Platform,21.4716820786,2025-12-26T00:00:00Z,2025-12-25T00:00:00Z,EUW1-InstanceUsage:db.r5.xlarge,11.8523685074,0.5520000000,OnDemand,Hrs,Amazon Relational Database Service,eu-west-1,db.r5.xlarge,Memory optimized,,4,32 GiB,"{""Environment"": ""production"", ""Team"": ""data-engineering"", ""CostCenter"": ""CC-2001"", ""Project"": ""data-pipeline""}"
lid-00000046,2025-10-02T00:00:00Z/2025-10-03T00:00:00Z,Anniversary,AWS,2025-12-30T00:00:00Z,2025-10-01T00:00:00Z,INV-202510-001,"Amazon Web Services, Inc.",111222333444,Acme Corp Master,eu-central-1b,12.5150260532,0.4800000000,USD,$0.4800 per Hrs for db.r5.xlarge in eu-central-1,Usage,11.8892747505,0.4560000000,CreateDBInstance,AmazonRDS,arn:aws:rds:eu-central-1:111222333444:db-r5-xlarge-6180,111222333444,Production,26.0729709441,2025-10-03T00:00:00Z,2025-10-02T00:00:00Z,EUC1-InstanceUsage:db.r5.xlarge,14.3922799611,0.5520000000,OnDemand,Hrs,Amazon Relational Database Service,eu-central-1,db.r5.xlarge,Memory optimized,,4,32 GiB,"{""Environment"": ""staging"", ""Team"": ""frontend"", ""CostCenter"": ""CC-4001"", ""Project"": ""web-app""}"
lid-00002602,2025-12-12T00:00:00Z/2025-12-13T00:00:00Z,Anniversary,AWS,2025-12-30T00:00:00Z,2025-10-01T00:00:00Z,INV-202510-001,"Amazon Web Services, Inc.",111222333444,Acme Corp Master,us-west-2a,6.0557513161,0.2300000000,USD,$0.2300 per Hrs for ml.m5.xlarge in us-west-2,Usage,5.7529637503,0.2185000000,CreateNotebookInstance,AmazonSageMaker,arn:aws:sagemaker:us-west-2:555666777888:ml-m5-xlarge-5201,555666777888,Staging,26.3293535483,2025-12-13T00:00:00Z,2025-12-12T00:00:00Z,USW2-Notebook:ml.m5.xlarge,6.9641140135,0.2645000000,OnDemand,Hrs,Amazon SageMaker,us-west-2,ml.m5.xlarge,General purpose,,4,16 GiB,"{""Environment"": ""production"", ""Team"": ""data-engineering"", ""CostCenter"": ""CC-2001"", ""Project"": ""data-pipeline""}"
lid-00001489,2025-11-11T00:00:00Z/2025-11-12T00:00:00Z,Anniversary,AWS,2025-12-30T00:00:00Z,2025-10-01T00:00:00Z,INV-202510-001,"Amazon Web Services, Inc.",111222333444,Acme Corp Master,eu-central-1c,17.5880739099,0.6800000000,USD,$0.6800 per Hrs for c5.4xlarge in eu-central-1,Usage,16.7086702144,0.6460000000,RunInstances,AmazonEC2,arn:aws:ec2:eu-central-1:555666777888:c5-4xlarge-4029,555666777888,Staging,25.8648145734,2025-11-12T00:00:00Z,2025-11-11T00:00:00Z,EUC1-BoxUsage:c5.4xlarge,20.2262849964,0.7820000000,OnDemand,Hrs,Amazon Elastic Compute Cloud,eu-central-1,c5.4xlarge,Compute optimized,Linux,16,32 GiB,"{""Environment"": ""production"", ""Team"": ""ml-ops"", ""CostCenter"": ""CC-3001"", ""Project"": ""recommendation-engine""}"
lid-00002133,2025-11-29T00:00:00Z/2025-11-30T00:00:00Z,Anniversary,AWS,2025-12-30T00:00:00Z,2025-10-01T00:00:00Z,INV-202510-001,"Amazon Web Services, Inc.",111222333444,Acme Corp Master,us-west-2c,0.4678019886,0.0333333333,USD,$0.0333 per Lambda-GB-Second for Function in us-west-2,Usage,0.4444118892,0.0316666667,Invoke,AWSLambda,arn:aws:lambda:us-west-2:999000111222:Function-5305,999000111222,Data Platform,14.0340596581,2025-11-30T00:00:00Z,2025-11-29T00:00:00Z,USW2-Lambda-GB-Second:Function,0.5379722869,0.0383333333,OnDemand,Lambda-GB-Second,AWS Lambda,us-west-2,Function,,,,512 MB,"{""Environment"": ""dev"", ""Team"": ""ml-ops""}"
lid-00000098,2025-10-03T00:00:00Z/2025-10-04T00:00:00Z,Anniversary,AWS,2025-12-30T00:00:00Z,2025-10-01T00:00:00Z,INV-202510-001,"Amazon Web Services, Inc.",111222333444,Acme Corp Master,ap-southeast-1c,24.4043952524,1.0920000000,USD,$1.0920 per Hrs for ra3.xlplus in ap-southeast-1,Usage,23.1841754898,1.0374000000,CreateCluster,AmazonRedshift,arn:aws:redshift:ap-southeast-1:111222333444:ra3-xlplus-7149,111222333444,Production,22.3483473007,2025-10-04T00:00:00Z,2025-10-03T00:00:00Z,APS1-Node:ra3.xlplus,28.0650545402,1.2558000000,OnDemand,Hrs,Amazon Redshift,ap-southeast-1,ra3.xlplus,RA3,,4,32 GiB,"{""Environment"": ""staging"", ""Team"": ""frontend"", ""CostCenter"": ""CC-4001"", ""Project"": ""web-app""}"
lid-00003135,2025-12-27T00:00:00Z/2025-12-28T00:00:00Z,Anniversary,AWS,2025-12-30T00:00:00Z,2025-10-01T00:00:00Z,INV-202510-001,"Amazon Web Services, Inc.",111222333444,Acme Corp Master,us-west-2a,0.4687052468,0.0333333333,USD,$0.0333 per Lambda-GB-Second for Function in us-west-2,Usage,0.4452699845,0.0316666667,Invoke,AWSLambda,arn:aws:lambda:us-west-2:555666777888:Function-6440,555666777888,Staging,14.0611574039,2025-12-28T00:00:00Z,2025-12-27T00:00:00Z,USW2-Lambda-GB-Second:Function,0.5390110338,0.0383333333,OnDemand,Lambda-GB-Second,AWS Lambda,us-west-2,Function,,,,512 MB,"{""Environment"": ""staging"", ""Team"": ""frontend"", ""CostCenter"": ""CC-4001"", ""Project"": ""web-app""}"
lid-00000979,2025-10-28T00:00:00Z/2025-10-29T00:00:00Z,Anniversary,AWS,2025-12-30T00:00:00Z,2025-10-01T00:00:00Z,INV-202510-001,"Amazon Web Services, Inc.",111222333444,Acme Corp Master,us-east-1b,3.5404116719,0.1260000000,USD,$0.1260 per Hrs for r5.large in us-east-1,Usage,3.3633910883,0.1197000000,RunInstances,AmazonEC2,arn:aws:ec2:us-east-1:999000111222:r5-large-4027,999000111222,Data Platform,28.0985053328,2025-10-29T00:00:00Z,2025-10-28T00:00:00Z,USE1-BoxUsage:r5.large,4.0714734227,0.1449000000,OnDemand,Hrs,Amazon Elastic Compute Cloud,us-east-1,r5.large,Memory optimized,Linux,2,16 GiB,"{""Environment"": ""production"", ""Team"": ""data-engineering"", ""CostCenter"": ""CC-2001"", ""Project"": ""data-pipeline""}"
lid-00002796,2025-12-18T00:00:00Z/2025-12-19T00:00:00Z,Anniversary,AWS,2025-12-30T00:00:00Z,2025-10-01T00:00:00Z,INV-202510-001,"Amazon Web Services, Inc.",111222333444,Acme Corp Master,eu-west-1a,3.3866783221,0.1260000000,USD,$0.1260 per Hrs for r5.large in eu-west-1,Usage,3.2173444060,0.1197000000,RunInstances,AmazonEC2,arn:aws:ec2:eu-west-1:111222333444:r5-large-6308,111222333444,Production,26.8783993816,2025-12-19T00:00:00Z,2025-12-18T00:00:00Z,EUW1-BoxUsage:r5.large,3.8946800704,0.1449000000,OnDemand,Hrs,Amazon Elastic Compute Cloud,eu-west-1,r5.large,Memory optimized,Linux,2,16 GiB,"{""Environment"": ""staging"", ""Team"": ""platform-engineering"", ""CostCenter"": ""CC-1001"", ""Project"": ""core-api""}"
